contact_time,team_id,word1,word2,word3,Notes,Added Time
28-Oct-2023 12:45,5,spoiler,swinging,dearest,,28-Oct-2023 12:45:45
28-Oct-2023 12:43,5,spells,bike,nurse,,28-Oct-2023 12:44:04
28-Oct-2023 12:41,4,geschutzt,bleistift,entkommt,,28-Oct-2023 12:42:02
28-Oct-2023 12:40,4,ausleger,maus,zwiebel,,28-Oct-2023 12:41:19
28-Oct-2023 12:23,3,vorab,bändern,tänzerin,,28-Oct-2023 12:24:56
28-Oct-2023 12:17,2,donnons,hauban,sirop,,28-Oct-2023 12:23:20
28-Oct-2023 12:14,1,logisch,ernten,käufer,,28-Oct-2023 12:16:11
28-Oct-2023 12:09,3,turmuhr,spätes,steht,,28-Oct-2023 12:12:58
28-Oct-2023 12:08,2,espece,infrason,neutre,,28-Oct-2023 12:09:48
28-Oct-2023 11:59,1,leine,klingen,schlaf,,28-Oct-2023 12:01:47
28-Oct-2023 11:56,3,verlobt,ersetzt,wählen,,28-Oct-2023 11:59:42
28-Oct-2023 11:47,1,eher,helles,immer,,28-Oct-2023 11:47:49
28-Oct-2023 11:39,3,abreise,ohne,beheizt,,28-Oct-2023 11:40:52
28-Oct-2023 11:29,1,heilung,entlehnte,dorfplatz,,28-Oct-2023 11:35:17
